description,filename_1996,filename_1998,filename_2000,filename_2002,filename_2004,filename_2006,filename_2008,filename_2010,filename_2012,filename_2014,filename_2016,filename_2018,filename_2020,code_1996,code_1998,code_2000,code_2002,code_2004,code_2006,code_2008,code_2010,code_2012,code_2014,code_2016,code_2018,code_2020
Date Month (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD151
Date Day (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD152
Date Year (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD153
Date Day/Week (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD154
Cut Paper (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD155
Cactus (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD156
President (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD157
Vice president (Binary),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD158
Series 7 (count 0-5),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,
Count Backwards (ordinal 0-2),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,
WORDS Recall Immediate (count 0-10),,,,,,,,,,,,,h20sta/H20d_r.dta,none?,none?,none?,HD174,JD174,KD174,LD174,MD174,ND174,OD174,PD174,QD174,RD174
WORDS Recall Immediate Web (count 0-10),,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD174W
"WORDS Delayed (count 0-10): RD184, RD184W",,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD184
"WORDS Delayed (count 0-10): RD184, RD184W",,,,,,,,,,,,,h20sta/H20d_r.dta,,,,,,,,,,,,,RD184W
Age,,,,,,,,,,,,,,,,,,,,,,,,,,
Level of Education,,,,,,,,,,,,,h20sta/H20b_r.dta,,,,,,,,,,,,,RB014
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,
Race,,,,,,,,,,,,,,,,,,,,,,,,,,
